PC1_float,PC2_float,PC3_float,PC4_float,PC5_float,PC6_float,PC7_float,PC8_float,PC9_float,PC10_float,PC11_float,PC12_float,PC1_code,PC2_code,PC3_code,PC4_code,PC5_code,PC6_code,PC7_code,PC8_code,PC9_code,PC10_code,PC11_code,PC12_code,Label
-1678513877.8783443,-105865894.4728285,2566.253149787425,-33693.90772907488,-1377.2903067803552,-0.9216601166935964,0.6958210199667346,-0.13109938191702342,-0.14687205118730512,0.08908776708954082,-0.15782366331113698,-3.5123254747629708e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678209636.2542906,-105725270.74011074,2582.3094305454306,-33694.063180502875,-1361.674954923043,-0.9653853920619435,0.6638396642340513,-0.12851504227656674,-0.14478430202477374,0.08933691036523533,-0.15826955867346948,-3.46342277395648e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677293060.2225492,-105301619.4943534,2580.271120685136,-33693.9992403579,-1360.516415146952,-0.9637423309458367,0.6637808213805811,-0.1285170561527177,-0.14477651179260442,0.0893233348190832,-0.15826573621208573,-3.4633766601796563e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677081246.4337783,-105203716.89541893,2562.0214161771723,-33693.79674681275,-1376.4314045619826,-0.9163250544223498,0.6977266610946498,-0.13126409266321437,-0.1469901975661048,0.08905069507839089,-0.1577897409474709,-3.515308859900555e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677088948.7533727,-105207276.9899211,2562.0385448314605,-33693.7972841249,-1376.441140190353,-0.9163388616586196,0.6977271555724099,-0.1312640757398854,-0.14699026303024068,0.08905080915861066,-0.1577897730689951,-3.515309247411284e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1675993935.6510217,-104701150.2215377,2560.649225059472,-33693.73193845222,-1374.10513369847,-0.9171428492273251,0.695659243326172,-0.13110491866616147,-0.1468506335041841,0.08905044384430738,-0.1578131542191254,-3.512198694169266e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1675565173.1935966,-104502971.62758398,2559.695729970763,-33693.70202807628,-1373.5631837191781,-0.9163742464083061,0.6956317173975181,-0.13110586073147568,-0.14684698933395363,0.08904409337874042,-0.15781136612094307,-3.5121771227386512e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1675386736.122919,-104420496.10506819,2576.0317787488084,-33693.8662556026,-1358.1068471252509,-0.96032503996906,0.6636584381349188,-0.12852124467664539,-0.14476030941897491,0.08929509996469112,-0.15825778613483807,-3.463280751274077e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1676458642.266482,-104915942.58995247,2578.4155164705817,-33693.941031542454,-1359.4617220734801,-0.9622465470166078,0.6637272529565539,-0.12851888951335944,-0.1447694198445511,0.08931097612860854,-0.15826225638029381,-3.463334679850615e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
41114872469.38244,-9124175986.553493,-148686.96653852618,-42603.24371289156,-104548.53239904511,-70.72572187515925,9.454126687625,13.359656300928014,-0.35516157558302947,-0.6130418064314117,0.03947740022628837,1.7858422989955314e-07,32942,13388,1158,15417,3237,37701,39820,58334,27571,9389,39839,58625,Benign
-1678569077.8354425,-105891408.48341998,2565.330101230508,-33693.90053760831,-1378.3120034422195,-0.9189921522284671,0.6978221777153385,-0.13126082364016256,-0.14700284305501832,0.08907273157417568,-0.15779594575523523,-3.5153837140564905e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678407329.1239588,-105816646.49887457,2564.9703994904557,-33693.88925405331,-1378.1075552464388,-0.9187022002668012,0.6978117936823731,-0.13126117903007162,-0.1470014683081649,0.08907033588956059,-0.15779527120322634,-3.515375576331169e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678412464.0036116,-105819019.89533435,2582.760485108353,-33694.07732972263,-1361.9313264701332,-0.9657489826170483,0.6638526854817378,-0.12851459662890308,-0.14478602591368517,0.08933991447768917,-0.15827040454027427,-3.4634329784056924e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678207068.8144257,-105724084.04194334,2582.303720994001,-33694.06300139883,-1361.671709713586,-0.9653807896498535,0.6638394994081311,-0.12851504791767632,-0.14478428020339512,0.08933687233849541,-0.15826954796629472,-3.463422644786237e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677503590.2915413,-105398928.74395418,2562.9606373873085,-33693.826209428575,-1376.9652415176322,-0.917082151211144,0.6977537749585035,-0.13126316470067423,-0.1469937871828887,0.08905695047710806,-0.15779150227771632,-3.515330108405561e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677158269.6297228,-105239317.84044056,2562.1927027200545,-33693.80211993418,-1376.5287608456877,-0.9164631267850478,0.6977316058722522,-0.13126392342992454,-0.14699085220746355,0.08905183588058854,-0.1577900621627132,-3.515312735007851e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678033766.6235502,-105643981.91564469,2581.918326272517,-33694.050911875616,-1361.4526580752497,-0.965070126833783,0.6638283736585254,-0.12851542869257881,-0.14478280726033788,0.08933430553355068,-0.15826882523199948,-3.4634139257948206e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677411162.456331,-105356207.61005323,2580.533760050888,-33694.007479144086,-1360.6656947819667,-0.9639540419019738,0.663788403372905,-0.12851679666167304,-0.1447775155760212,0.0893250840491196,-0.15826622874212398,-3.4633826020108435e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
5333717708.133949,1586868736.6125906,-16680.359314259047,31674.2451805264,366.53924925966317,-4.2671571659566006,5.556358020759942,-0.3875390864450402,0.16453097350434753,0.9255427075626829,-0.3969066318416956,-1.0357076069656869e-08,5399,29023,2564,65369,10518,39134,36994,28468,33635,34453,21298,28959,Benign
1520015369.7692327,-189044163.34953466,-6032.548724785693,-34099.87049983937,-6105.6206837412665,-4.629099219173602,-1.0393271985683268,5.931966770116686,0.08825729928795802,-0.15694136592191482,-0.21856292733354477,8.005745359241228e-08,2463,26430,2678,21135,10069,39126,32210,42197,32745,16819,28876,43155,Benign
46251234422.123405,-12391173900.782743,-172703.98377920978,-44560.91111246426,-130171.98346078087,-99.34953902502299,-0.7057552716082628,1.622422118006531,0.0747492974759114,0.028125004902442505,0.03054661145125953,2.3184601886280746e-08,36896,8620,902,14100,1459,37084,32452,32835,32588,19834,39460,34225,Benign
15212645480.14844,2220301092.836309,-46546.528883506326,29444.91432111174,-8769.348496074765,-7.446676271218455,5.995759021446172,-1.128877247419318,0.23150675465197224,2.8334089704903453,0.26621195238595985,-1.234374037687572e-08,13003,29947,2246,63869,9884,39065,37312,26858,34417,65531,49473,28647,Benign
46099785226.518585,-15763550641.279186,-177532.37307427626,-37782.73318601704,-145721.70947950648,-54.21369895832705,-9.636833318162397,-7.256218590820151,0.5565230297550593,0.337338415037173,-0.16236391260566999,-9.492452745221876e-08,36779,3697,851,18659,380,38057,25975,13546,38209,24871,31263,15681,Benign
